City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Mahanoro,MG,-19.9,48.8,75.04,90,96,7.65,light rain
151,Smithers,CA,54.7804,-127.1743,37.09,96,100,2.64,overcast clouds
152,Ponta Do Sol,PT,32.6667,-17.1,66.0,51,100,14.45,overcast clouds
153,Quba,AZ,41.3626,48.5152,23.74,61,1,7.96,clear sky
154,Nago,JP,26.5881,127.9761,59.07,68,84,10.25,broken clouds
155,Saskylakh,RU,71.9167,114.0833,2.98,93,100,8.12,overcast clouds
156,Hualmay,PE,-11.0964,-77.6139,76.19,73,45,9.82,scattered clouds
157,Miramar,US,25.9873,-80.2323,83.01,75,20,5.75,few clouds
158,Baykit,RU,61.67,96.37,-4.56,100,98,1.21,overcast clouds
159,Thompson,CA,55.7435,-97.8558,-3.84,71,100,16.11,overcast clouds
160,Pimentel,PE,-6.8367,-79.9342,80.89,54,0,23.02,clear sky
161,Amberley,US,39.2048,-84.428,26.55,55,0,5.99,clear sky
162,Tabuk,PH,17.4189,121.4443,70.36,95,100,2.95,overcast clouds
163,Iqaluit,CA,63.7506,-68.5145,-32.1,94,18,2.08,few clouds
164,Mariinsk,RU,56.2139,87.7472,-2.27,99,34,3.98,scattered clouds
165,Caravelas,BR,-17.7125,-39.2481,82.49,68,8,9.17,clear sky
166,Muroto,JP,33.2833,134.15,43.38,60,68,6.71,broken clouds
167,Puerto Madryn,AR,-42.7692,-65.0385,79.7,25,0,17.85,clear sky
168,Tura,IN,25.5198,90.2201,54.36,82,16,2.64,few clouds
169,Dunedin,NZ,-45.8742,170.5036,58.8,71,6,8.01,clear sky
170,Torit,SS,4.4133,32.5678,82.76,26,100,3.18,overcast clouds
171,Lindsay,US,36.203,-119.0882,64.45,93,100,5.75,mist
172,Kolomak,UA,49.8399,35.3044,24.33,89,100,15.48,overcast clouds
173,Viterbo,IT,42.4167,12.0833,43.59,71,1,7.56,clear sky
174,Rio Cuarto,AR,-33.1307,-64.3499,78.57,78,100,20.71,thunderstorm with light rain
175,Alofi,NU,-19.0595,-169.9187,80.89,76,97,16.71,overcast clouds
176,Mayo,US,38.8876,-76.5119,27.41,52,0,5.01,clear sky
177,Puerto Ayora,EC,-0.7393,-90.3518,84.16,79,54,8.61,broken clouds
178,Butaritari,KI,3.0707,172.7902,81.27,71,98,15.48,overcast clouds
179,Alghero,IT,40.5589,8.3181,48.29,81,20,1.14,few clouds
180,Saint Anthony,US,45.0205,-93.218,15.94,52,0,7.0,clear sky
181,Manzhouli,CN,49.6,117.4333,1.51,97,100,3.96,overcast clouds
182,Lydenburg,ZA,-25.0978,30.4597,57.7,81,14,7.29,few clouds
183,Parrita,CR,9.5201,-84.3225,94.77,58,55,7.81,broken clouds
184,Guerrero Negro,MX,27.9769,-114.0611,68.59,33,0,9.71,clear sky
185,Sur,OM,22.5667,59.5289,70.32,60,0,18.1,clear sky
186,Humboldt,US,40.6665,-123.9178,47.12,42,100,3.09,overcast clouds
187,Hay River,CA,60.8156,-115.7999,-17.5,94,100,4.25,overcast clouds
188,La Ronge,CA,55.1001,-105.2842,-0.6,85,100,15.05,overcast clouds
189,Igarka,RU,67.4667,86.5833,10.56,95,100,13.96,overcast clouds
190,Myitkyina,MM,25.3833,97.4,53.56,99,88,2.91,overcast clouds
191,Tambovka,RU,50.0969,128.0489,-18.09,100,35,0.65,scattered clouds
192,Cairns,AU,-16.9167,145.7667,78.75,88,40,9.22,scattered clouds
193,Rafaela,AR,-31.2503,-61.4867,105.06,26,0,5.99,clear sky
194,Omsukchan,RU,62.5333,155.8,-27.15,87,4,4.61,clear sky
195,Vaitape,PF,-16.5167,-151.75,79.97,78,100,13.27,light rain
196,Kavieng,PG,-2.5744,150.7967,82.47,74,100,4.47,overcast clouds
197,Esperance,AU,-33.8667,121.9,66.04,81,100,9.15,overcast clouds
198,Marzuq,YE,14.4,46.4667,64.78,51,96,8.46,overcast clouds
199,Geraldton,AU,-28.7667,114.6,72.01,56,0,8.05,clear sky
200,Lata,PT,40.1629,-8.3327,51.08,57,73,6.4,broken clouds
201,Bemidji,US,47.4736,-94.8803,17.38,83,100,13.8,overcast clouds
202,Severo-Kurilsk,RU,50.6789,156.125,29.44,83,97,13.06,light snow
203,Nalut,LY,30.3333,10.85,51.76,36,7,5.91,clear sky
204,Colac,AU,-38.3333,143.5833,59.43,82,0,5.01,clear sky
205,Wunsiedel,DE,50.0333,12.0167,32.76,93,100,3.0,overcast clouds
206,Manokwari,ID,-0.8667,134.0833,78.64,82,100,6.29,moderate rain
207,Pasighat,IN,28.0667,95.3333,54.75,70,12,3.44,few clouds
208,Bethel,US,41.3712,-73.414,23.58,48,0,9.22,clear sky
209,Kurkino,RU,53.4257,38.6582,17.49,94,81,13.22,light snow
210,Cookeville,US,36.1628,-85.5016,27.18,73,100,6.91,overcast clouds
211,Rawson,AR,-43.3002,-65.1023,78.75,29,0,20.36,clear sky
212,Avera,US,33.194,-82.5271,36.91,78,100,11.59,snow
213,Chuy,UY,-33.6971,-53.4616,87.51,60,52,14.05,broken clouds
214,Yambio,SS,4.5721,28.3955,75.25,33,20,4.72,few clouds
215,Rapid Valley,US,44.0625,-103.1463,46.0,52,20,3.0,few clouds
216,Saint-Georges,GD,12.0564,-61.7485,80.2,65,18,17.38,few clouds
217,Roma,US,43.2128,-75.4557,15.66,48,0,4.61,clear sky
