City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,Port Blair,IN,76.68,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
372,Conceicao Da Barra,BR,83.08,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
373,Beyla,GN,77.88,overcast clouds,8.6833,-8.6333,DIAN SINKO
376,Morondava,MG,81.18,overcast clouds,-20.2833,44.2833,La Case Bambou
386,Labuhan,ID,77.14,overcast clouds,-6.8844,112.2051,DoubleFAG
389,Lavras,BR,77.27,overcast clouds,-21.2453,-44.9997,Hotel Ouro Lavras
392,Tiarei,PF,82.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
397,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
399,Bougouni,ML,79.81,overcast clouds,11.417,-7.479,Non Stop
400,Diebougou,BF,79.12,clear sky,10.9667,-3.25,Hotel Le Consulat
402,Le Port,RE,82.36,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
409,Alvaraes,BR,85.87,light rain,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
410,Ugoofaaru,MV,80.71,overcast clouds,5.6667,73.0,Ungoofaaru Inn
411,Broken Hill,AU,77.38,light rain,-31.95,141.4333,Royal Exchange Hotel
414,Moerai,PF,77.81,light rain,-22.4333,-151.3333,Le Manotel
415,Saint-Pierre,RE,82.04,few clouds,-21.3393,55.4781,Lindsey Hôtel
423,Lazaro Cardenas,MX,81.64,overcast clouds,17.9583,-102.2,quinta antigua
432,Axim,GH,80.42,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
437,Pedernales,DO,84.07,clear sky,18.0384,-71.744,Hotel Costa Marina
443,Borba,BR,87.51,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
444,Male,MV,80.82,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
445,Puerto Maldonado,PE,77.4,broken clouds,-12.6,-69.1833,Wasai Hotel
450,Cockburn Town,TC,78.87,clear sky,21.4612,-71.1419,Osprey Beach Hotel
460,Meulaboh,ID,75.15,scattered clouds,4.1363,96.1285,Kost Pria
464,Bobo Dioulasso,BF,76.24,clear sky,11.1771,-4.2979,RAN Hotel Somketa
466,Neiafu,TO,81.37,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
468,Martapura,ID,75.29,mist,-3.4167,114.85,Montana Hotel Syariah
472,Spring Hill,US,77.29,scattered clouds,28.4769,-82.5255,Room of The world By traveline Plus
473,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
474,Rio Grande,BR,89.71,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
475,Caucasia,CO,88.27,overcast clouds,7.9865,-75.1935,Hotel San Rafael
477,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
482,Lae,PG,76.93,overcast clouds,-6.7221,146.9847,Phils Hotel
484,Vanimo,PG,77.58,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
488,Boma,GH,77.88,clear sky,7.0805,-2.1697,Obaatanpa Hotel
489,Harper,LR,79.47,clear sky,4.375,-7.7169,Screensaver
491,Ipira,BR,86.68,scattered clouds,-12.1583,-39.7372,Pallace Hotel e Restaurante
493,Gawler,AU,84.34,light rain,-34.6,138.7333,Eagle Foundry Bed & Breakfast
496,Valparaiso,CL,79.03,clear sky,-33.0393,-71.6273,Hotel Ultramar
502,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
504,Daru,PG,77.77,overcast clouds,-9.0763,143.2092,Daru Lodge
508,Quatre Cocos,MU,82.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
515,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
518,Voi,KE,75.09,overcast clouds,-3.3945,38.563,Voi Wildlife Lodge
